ensembl_gene_id	btaurus_homolog_ensembl_gene	ggallus_homolog_ensembl_gene	ggorilla_homolog_ensembl_gene	hsapiens_homolog_ensembl_gene	mdomestica_homolog_ensembl_gene	mmulatta_homolog_ensembl_gene	oanatinus_homolog_ensembl_gene	pabelii_homolog_ensembl_gene	ppaniscus_homolog_ensembl_gene	ptroglodytes_homolog_ensembl_gene	rnorvegicus_homolog_ensembl_gene
ENSMUSG00000021840											ENSRNOG00000011611
ENSMUSG00000021843	ENSBTAG00000017713	ENSGALG00000012137	ENSGGOG00000016707	ENSG00000126777	ENSMODG00000007623	ENSMMUG00000006650		ENSPPYG00000005842	ENSPPAG00000028706	ENSPTRG00000006378	ENSRNOG00000012255
ENSMUSG00000021846	ENSBTAG00000005141	ENSGALG00000012124	ENSGGOG00000044000	ENSG00000139946	ENSMODG00000007648	ENSMMUG00000021757	ENSOANG00000009724	ENSPPYG00000005844	ENSPPAG00000040323	ENSPTRG00000049032	ENSRNOG00000012363
ENSMUSG00000021848	ENSBTAG00000014741	ENSGALG00000034889	ENSGGOG00000004038	ENSG00000165588	ENSMODG00000007711	ENSMMUG00000038006		ENSPPYG00000005846	ENSPPAG00000041036	ENSPTRG00000006381	
ENSMUSG00000021850	ENSBTAG00000009862	ENSGALG00000012095	ENSGGOG00000022506	ENSG00000100557	ENSMODG00000007762	ENSMMUG00000040110	ENSOANG00000020538	ENSPPYG00000005851	ENSPPAG00000035537	ENSPTRG00000006386	
ENSMUSG00000021852	ENSBTAG00000006341	ENSGALG00000012094	ENSGGOG00000015232	ENSG00000151812	ENSMODG00000007782	ENSMMUG00000007646	ENSOANG00000011833	ENSPPYG00000005852	ENSPPAG00000031826	ENSPTRG00000006387	ENSRNOG00000014982
ENSMUSG00000021866	ENSBTAG00000020940	ENSGALG00000043826	ENSGGOG00000005851	ENSG00000122359	ENSMODG00000001145	ENSMMUG00000019780		ENSPPYG00000002292	ENSPPAG00000035965	ENSPTRG00000002680	ENSRNOG00000010984
ENSMUSG00000021868	ENSBTAG00000016711	ENSGALG00000004809	ENSGGOG00000037486	ENSG00000108179	ENSMODG00000001128	ENSMMUG00000003189	ENSOANG00000005176	ENSPPYG00000002301	ENSPPAG00000032388	ENSPTRG00000002669	ENSRNOG00000010558
ENSMUSG00000021870	ENSBTAG00000021164	ENSGALG00000005670	ENSGGOG00000034879	ENSG00000163681	ENSMODG00000000227	ENSMMUG00000004800	ENSOANG00000013848	ENSPPYG00000013766	ENSPPAG00000038504	ENSPTRG00000015053	ENSRNOG00000011307
ENSMUSG00000021872	ENSBTAG00000032869			ENSG00000182545		ENSMMUG00000019128		ENSPPYG00000005569			ENSRNOG00000010261
ENSMUSG00000021876	ENSBTAG00000019612		ENSGGOG00000037325	ENSG00000258818	ENSMODG00000006965	ENSMMUG00000005496	ENSOANG00000001916	ENSPPYG00000005573	ENSPPAG00000033008	ENSPTRG00000044163	ENSRNOG00000025625
ENSMUSG00000021877	ENSBTAG00000016069	ENSGALG00000005622	ENSGGOG00000000294	ENSG00000168374	ENSMODG00000000185		ENSOANG00000012887	ENSPPYG00000013768	ENSPPAG00000036638	ENSPTRG00000015051	ENSRNOG00000012623
ENSMUSG00000021879	ENSBTAG00000020802	ENSGALG00000005601	ENSGGOG00000004557	ENSG00000174844	ENSMODG00000024484	ENSMMUG00000015322	ENSOANG00000005995		ENSPPAG00000033592	ENSPTRG00000015049	ENSRNOG00000059865
ENSMUSG00000021880	ENSBTAG00000008792		ENSGGOG00000024921	ENSG00000169413		ENSMMUG00000001657		ENSPPYG00000005577	ENSPPAG00000033349	ENSPTRG00000006104	
ENSMUSG00000021886	ENSBTAG00000012737	ENSGALG00000010595	ENSGGOG00000024995	ENSG00000140030	ENSMODG00000024047	ENSMMUG00000017260	ENSOANG00000012044		ENSPPAG00000024242	ENSPTRG00000047008	ENSRNOG00000003806
ENSMUSG00000021890	ENSBTAG00000019202	ENSGALG00000033379	ENSGGOG00000004453	ENSG00000144597		ENSMMUG00000020761	ENSOANG00000006754	ENSPPYG00000014089	ENSPPAG00000039271	ENSPTRG00000014665	ENSRNOG00000019559
ENSMUSG00000021891	ENSBTAG00000023375	ENSGALG00000040665	ENSGGOG00000024436	ENSG00000206562	ENSMODG00000014536	ENSMMUG00000004933	ENSOANG00000006755	ENSPPYG00000014090	ENSPPAG00000039377	ENSPTRG00000030297	ENSRNOG00000057372
ENSMUSG00000021892	ENSBTAG00000023377	ENSGALG00000039337	ENSGGOG00000001667	ENSG00000131370	ENSMODG00000014532	ENSMMUG00000006661	ENSOANG00000006756	ENSPPYG00000014091	ENSPPAG00000038360	ENSPTRG00000014662	ENSRNOG00000052391
ENSMUSG00000021893	ENSBTAG00000006479	ENSGALG00000041731	ENSGGOG00000025671	ENSG00000131375	ENSMODG00000014524	ENSMMUG00000006658	ENSOANG00000006757	ENSPPYG00000014092	ENSPPAG00000032807	ENSPTRG00000014661	ENSRNOG00000019273
ENSMUSG00000021895	ENSBTAG00000014091	ENSGALG00000005481	ENSGGOG00000000668	ENSG00000163947	ENSMODG00000012345	ENSMMUG00000010163	ENSOANG00000029710	ENSPPYG00000013777	ENSPPAG00000038344	ENSPTRG00000015041	ENSRNOG00000014363
ENSMUSG00000021898	ENSBTAG00000016013	ENSGALG00000005537	ENSGGOG00000002824	ENSG00000239388	ENSMODG00000000105	ENSMMUG00000021008	ENSOANG00000008951	ENSPPYG00000013773	ENSPPAG00000040684	ENSPTRG00000015046	ENSRNOG00000013346
ENSMUSG00000021900	ENSBTAG00000019129	ENSGALG00000011216	ENSGGOG00000013932	ENSG00000169814	ENSMODG00000014571	ENSMMUG00000020762		ENSPPYG00000014086	ENSPPAG00000035833	ENSPTRG00000014668	ENSRNOG00000019656
ENSMUSG00000021901	ENSBTAG00000045817	ENSGALG00000004366	ENSGGOG00000015895	ENSG00000163930	ENSMODG00000011521	ENSMMUG00000016982	ENSOANG00000003247	ENSPPYG00000013809	ENSPPAG00000028588	ENSPTRG00000014997	ENSRNOG00000019097
ENSMUSG00000021902	ENSBTAG00000047658		ENSGGOG00000015905	ENSG00000010318	ENSMODG00000011485	ENSMMUG00000016984	ENSOANG00000021002	ENSPPYG00000013808	ENSPPAG00000036489	ENSPTRG00000014998	ENSRNOG00000018996
ENSMUSG00000021903	ENSBTAG00000008240	ENSGALG00000011235	ENSGGOG00000009285	ENSG00000131386	ENSMODG00000014595	ENSMMUG00000022690	ENSOANG00000006746	ENSPPYG00000014084	ENSPPAG00000039833	ENSPTRG00000014670	ENSRNOG00000019718
ENSMUSG00000021904	ENSBTAG00000046924	ENSGALG00000004476	ENSGGOG00000015913	ENSG00000010319	ENSMODG00000011476	ENSMMUG00000018872		ENSPPYG00000013807	ENSPPAG00000033280	ENSPTRG00000014999	ENSRNOG00000018952
ENSMUSG00000021905	ENSBTAG00000003916	ENSGALG00000011237		ENSG00000154813				ENSPPYG00000014083			ENSRNOG00000019727
ENSMUSG00000021906	ENSBTAG00000004891	ENSGALG00000011239	ENSGGOG00000006174	ENSG00000154814	ENSMODG00000014601	ENSMMUG00000022693	ENSOANG00000006744	ENSPPYG00000014082	ENSPPAG00000036281	ENSPTRG00000014672	ENSRNOG00000019760
ENSMUSG00000021907	ENSBTAG00000011660	ENSGALG00000043909	ENSGGOG00000014834	ENSG00000263639		ENSMMUG00000008023	ENSOANG00000020079	ENSPPYG00000002261	ENSPPAG00000030880	ENSPTRG00000002495	ENSRNOG00000039786
ENSMUSG00000021910	ENSBTAG00000014779	ENSGALG00000043825	ENSGGOG00000015932	ENSG00000010322	ENSMODG00000011444	ENSMMUG00000005619	ENSOANG00000001501	ENSPPYG00000013805	ENSPPAG00000014444	ENSPTRG00000015001	ENSRNOG00000018823
ENSMUSG00000021911	ENSBTAG00000023018	ENSGALG00000002117		ENSG00000227345	ENSMODG00000002640	ENSMMUG00000009848		ENSPPYG00000002259		ENSPTRG00000031332	ENSRNOG00000019978
ENSMUSG00000021913	ENSBTAG00000021728	ENSGALG00000002266	ENSGGOG00000006646	ENSG00000197444	ENSMODG00000002613	ENSMMUG00000000275	ENSOANG00000013228	ENSPPYG00000002258	ENSPPAG00000035435	ENSPTRG00000002492	ENSRNOG00000019955
ENSMUSG00000021916	ENSBTAG00000014550	ENSGALG00000001642	ENSGGOG00000011449	ENSG00000016864	ENSMODG00000011221	ENSMMUG00000012526	ENSOANG00000013435	ENSPPYG00000013799	ENSPPAG00000042721	ENSPTRG00000015010	ENSRNOG00000018179
ENSMUSG00000021917		ENSGALG00000001655	ENSGGOG00000028027	ENSG00000114902	ENSMODG00000011199	ENSMMUG00000017370		ENSPPYG00000013798	ENSPPAG00000034424	ENSPTRG00000015011	ENSRNOG00000018075
ENSMUSG00000021918	ENSBTAG00000004749	ENSGALG00000041428	ENSGGOG00000014660	ENSG00000114904	ENSMODG00000011196	ENSMMUG00000017903	ENSOANG00000013434	ENSPPYG00000013797	ENSPPAG00000029788	ENSPTRG00000049205	ENSRNOG00000017997
ENSMUSG00000021919	ENSBTAG00000016814	ENSGALG00000002289	ENSGGOG00000015179	ENSG00000070748	ENSMODG00000002547	ENSMMUG00000004692	ENSOANG00000013226	ENSPPYG00000002256	ENSPPAG00000035551	ENSPTRG00000002489	ENSRNOG00000025012
ENSMUSG00000021922	ENSBTAG00000007850		ENSGGOG00000005746	ENSG00000055955		ENSMMUG00000014523	ENSOANG00000002099	ENSPPYG00000013794	ENSPPAG00000040047	ENSPTRG00000034152	ENSRNOG00000017381
ENSMUSG00000021928	ENSBTAG00000018410			ENSG00000123179	ENSMODG00000010833	ENSMMUG00000020571		ENSPPYG00000005371			ENSRNOG00000014659
ENSMUSG00000021929	ENSBTAG00000004850	ENSGALG00000017009	ENSGGOG00000037674	ENSG00000102753	ENSMODG00000010829	ENSMMUG00000020572	ENSOANG00000015542	ENSPPYG00000005372	ENSPPAG00000033827	ENSPTRG00000005878	ENSRNOG00000014945
ENSMUSG00000021930	ENSBTAG00000018829	ENSGALG00000017010	ENSGGOG00000005611	ENSG00000123178	ENSMODG00000010799	ENSMMUG00000009579	ENSOANG00000015540	ENSPPYG00000005373	ENSPPAG00000039609	ENSPTRG00000005879	ENSRNOG00000015095
ENSMUSG00000021932		ENSGALG00000017015	ENSGGOG00000001044	ENSG00000136104	ENSMODG00000010775	ENSMMUG00000021746	ENSOANG00000015537	ENSPPYG00000005378	ENSPPAG00000026374	ENSPTRG00000005886	ENSRNOG00000009192
ENSMUSG00000021933	ENSBTAG00000007457				ENSMODG00000010760	ENSMMUG00000045517	ENSOANG00000015535	ENSPPYG00000005379	ENSPPAG00000029132	ENSPTRG00000043325	ENSRNOG00000009440
ENSMUSG00000021936	ENSBTAG00000007876	ENSGALG00000006109	ENSGGOG00000011771	ENSG00000107643	ENSMODG00000002193	ENSMMUG00000004060		ENSPPYG00000002246	ENSPPAG00000004364	ENSPTRG00000002478	ENSRNOG00000020155
ENSMUSG00000021938	ENSBTAG00000003934	ENSGALG00000017142	ENSGGOG00000003414	ENSG00000121390	ENSMODG00000008029	ENSMMUG00000020262		ENSPPYG00000005186	ENSPPAG00000009836	ENSPTRG00000005677	ENSRNOG00000020782
ENSMUSG00000021939	ENSBTAG00000012442	ENSGALG00000030016	ENSGGOG00000001167	ENSG00000164733	ENSMODG00000012029	ENSMMUG00000019212	ENSOANG00000013012	ENSPPYG00000018345	ENSPPAG00000029390	ENSPTRG00000019998	ENSRNOG00000010331
ENSMUSG00000021940	ENSBTAG00000014938		ENSGGOG00000041923	ENSG00000204179	ENSMODG00000002124	ENSMMUG00000010209		ENSPPYG00000002243	ENSPPAG00000038732	ENSPTRG00000002476	ENSRNOG00000020203
ENSMUSG00000021943	ENSBTAG00000001019	ENSGALG00000005985	ENSGGOG00000005895	ENSG00000266524	ENSMODG00000002085	ENSMMUG00000011912	ENSOANG00000015415	ENSPPYG00000002242	ENSPPAG00000041322	ENSPTRG00000002475	ENSRNOG00000051993
ENSMUSG00000021944	ENSBTAG00000005425	ENSGALG00000016662	ENSGGOG00000010773	ENSG00000136574	ENSMODG00000011997	ENSMMUG00000019208	ENSOANG00000014037	ENSPPYG00000018350	ENSPPAG00000002167	ENSPTRG00000019993	ENSRNOG00000010708
ENSMUSG00000021945	ENSBTAG00000020403		ENSGGOG00000007409	ENSG00000121741	ENSMODG00000008092	ENSMMUG00000030812	ENSOANG00000009018	ENSPPYG00000005188	ENSPPAG00000039749	ENSPTRG00000005680	ENSRNOG00000008734
ENSMUSG00000021947	ENSBTAG00000011726	ENSGALG00000017135	ENSGGOG00000011053	ENSG00000165475	ENSMODG00000008139	ENSMMUG00000004560	ENSOANG00000009024	ENSPPYG00000005192	ENSPPAG00000043148	ENSPTRG00000005684	ENSRNOG00000008989
ENSMUSG00000021948	ENSBTAG00000008719	ENSGALG00000002016	ENSGGOG00000003207	ENSG00000163932	ENSMODG00000010650	ENSMMUG00000007230	ENSOANG00000004136	ENSPPYG00000013789	ENSPPAG00000033532	ENSPTRG00000015023	ENSRNOG00000016346
ENSMUSG00000021950	ENSBTAG00000018499	ENSGALG00000005956			ENSMODG00000002047	ENSMMUG00000013446	ENSOANG00000010667	ENSPPYG00000002236	ENSPPAG00000021844		ENSRNOG00000060949
ENSMUSG00000021951	ENSBTAG00000008296	ENSGALG00000017133	ENSGGOG00000016930	ENSG00000150456	ENSMODG00000008216	ENSMMUG00000013370	ENSOANG00000009029	ENSPPYG00000005195	ENSPPAG00000041805	ENSPTRG00000005687	ENSRNOG00000009849
ENSMUSG00000021952	ENSBTAG00000003710	ENSGALG00000017132	ENSGGOG00000000890	ENSG00000132953	ENSMODG00000008262	ENSMMUG00000013371		ENSPPYG00000005196	ENSPPAG00000031464	ENSPTRG00000005690	ENSRNOG00000010137
ENSMUSG00000021953	ENSBTAG00000000011	ENSGALG00000016651	ENSGGOG00000000125			ENSMMUG00000029032	ENSOANG00000003245	ENSPPYG00000018356	ENSPPAG00000021484	ENSPTRG00000047162	ENSRNOG00000011342
ENSMUSG00000021957	ENSBTAG00000003758	ENSGALG00000005309		ENSG00000163931	ENSMODG00000012573	ENSMMUG00000014433	ENSOANG00000003698	ENSPPYG00000025895	ENSPPAG00000032824	ENSPTRG00000015024	ENSRNOG00000016064
ENSMUSG00000021958	ENSBTAG00000000500	ENSGALG00000041139	ENSGGOG00000008531	ENSG00000254093	ENSMODG00000008908		ENSOANG00000021009		ENSPPAG00000030738	ENSPTRG00000019980	ENSRNOG00000012012
ENSMUSG00000021961	ENSBTAG00000004134	ENSGALG00000041514	ENSGGOG00000010827	ENSG00000171060	ENSMODG00000008891	ENSMMUG00000010179	ENSOANG00000021093	ENSPPYG00000018362	ENSPPAG00000031594	ENSPTRG00000052757	ENSRNOG00000012402
ENSMUSG00000021962	ENSBTAG00000010863	ENSGALG00000041547	ENSGGOG00000012817	ENSG00000272886	ENSMODG00000012554	ENSMMUG00000011208	ENSOANG00000030354	ENSPPYG00000013788	ENSPPAG00000043127	ENSPTRG00000046314	ENSRNOG00000016015
ENSMUSG00000021965	ENSBTAG00000003314	ENSGALG00000017128	ENSGGOG00000014494	ENSG00000165480	ENSMODG00000027307	ENSMMUG00000016560	ENSOANG00000009035	ENSPPYG00000005199	ENSPPAG00000037665	ENSPTRG00000005693	ENSRNOG00000021847
ENSMUSG00000021966	ENSBTAG00000040038										ENSRNOG00000047632
ENSMUSG00000021967	ENSBTAG00000003315	ENSGALG00000039783	ENSGGOG00000014501	ENSG00000173141	ENSMODG00000024156	ENSMMUG00000016562	ENSOANG00000009036	ENSPPYG00000005200	ENSPPAG00000031962	ENSPTRG00000049719	
ENSMUSG00000021969	ENSBTAG00000006177	ENSGALG00000017126		ENSG00000180776		ENSMMUG00000007373	ENSOANG00000009037	ENSPPYG00000005201	ENSPPAG00000030455	ENSPTRG00000005695	ENSRNOG00000011024
ENSMUSG00000021972	ENSBTAG00000010819	ENSGALG00000016633	ENSGGOG00000000860	ENSG00000147421	ENSMODG00000008788	ENSMMUG00000014981	ENSOANG00000014420	ENSPPYG00000018480	ENSPPAG00000026235	ENSPTRG00000020127	ENSRNOG00000013326
ENSMUSG00000021973	ENSBTAG00000015943	ENSGALG00000017125	ENSGGOG00000013255	ENSG00000165487	ENSMODG00000008317	ENSMMUG00000011252	ENSOANG00000009038	ENSPPYG00000029528	ENSPPAG00000035247	ENSPTRG00000005696	ENSRNOG00000011168
ENSMUSG00000021974	ENSBTAG00000048237	ENSGALG00000025748	ENSGGOG00000004983	ENSG00000102678	ENSMODG00000008336	ENSMMUG00000009912	ENSOANG00000009032	ENSPPYG00000005203	ENSPPAG00000003991	ENSPTRG00000005698	ENSRNOG00000011471
ENSMUSG00000021975	ENSBTAG00000008845	ENSGALG00000016631	ENSGGOG00000017009	ENSG00000104299	ENSMODG00000008755	ENSMMUG00000019723	ENSOANG00000010536	ENSPPYG00000018479	ENSPPAG00000041473	ENSPTRG00000020125	ENSRNOG00000013459
ENSMUSG00000021977											ENSRNOG00000053522
ENSMUSG00000021978	ENSBTAG00000008844	ENSGALG00000016630	ENSGGOG00000008655	ENSG00000012232	ENSMODG00000008726	ENSMMUG00000017700		ENSPPYG00000018478	ENSPPAG00000033582	ENSPTRG00000020124	ENSRNOG00000013581
ENSMUSG00000021981	ENSBTAG00000034222	ENSGALG00000017005	ENSGGOG00000000576	ENSG00000102547	ENSMODG00000010950	ENSMMUG00000013472	ENSOANG00000022493	ENSPPYG00000005366	ENSPPAG00000029104	ENSPTRG00000005872	ENSRNOG00000011603
ENSMUSG00000021982	ENSBTAG00000002271	ENSGALG00000017004	ENSGGOG00000005192	ENSG00000102543	ENSMODG00000010997	ENSMMUG00000013470	ENSOANG00000015548	ENSPPYG00000005365	ENSPPAG00000028450	ENSPTRG00000005871	ENSRNOG00000012209
ENSMUSG00000021983	ENSBTAG00000019529	ENSGALG00000017106	ENSGGOG00000003045	ENSG00000132932	ENSMODG00000008674	ENSMMUG00000008520	ENSOANG00000009049	ENSPPYG00000005224	ENSPPAG00000029372	ENSPTRG00000005721	ENSRNOG00000008053
ENSMUSG00000021986		ENSGALG00000027868	ENSGGOG00000000208	ENSG00000165566	ENSMODG00000008548	ENSMMUG00000020837		ENSPPYG00000005220	ENSPPAG00000033197	ENSPTRG00000005717	ENSRNOG00000013623
ENSMUSG00000021987	ENSBTAG00000003116	ENSGALG00000017112	ENSGGOG00000022839	ENSG00000139505	ENSMODG00000008567	ENSMMUG00000018419	ENSOANG00000009046	ENSPPYG00000005221	ENSPPAG00000035079	ENSPTRG00000005718	ENSRNOG00000012918
ENSMUSG00000021990	ENSBTAG00000019545	ENSGALG00000034674	ENSGGOG00000042726			ENSMMUG00000022610	ENSOANG00000009044	ENSPPYG00000005211	ENSPPAG00000037517	ENSPTRG00000032583	ENSRNOG00000013707
ENSMUSG00000021991	ENSBTAG00000013117	ENSGALG00000005400	ENSGGOG00000011495	ENSG00000157445	ENSMODG00000012420	ENSMMUG00000047365	ENSOANG00000011110	ENSPPYG00000013782	ENSPPAG00000017555	ENSPTRG00000015031	ENSRNOG00000031287
ENSMUSG00000021993	ENSBTAG00000008888	ENSGALG00000017118	ENSGGOG00000009424	ENSG00000027001	ENSMODG00000008482	ENSMMUG00000006942	ENSOANG00000009042	ENSPPYG00000005207	ENSPPAG00000029285	ENSPTRG00000005705	ENSRNOG00000013876
ENSMUSG00000021994	ENSBTAG00000020221	ENSGALG00000034168	ENSGGOG00000007472	ENSG00000114251	ENSMODG00000012401	ENSMMUG00000039130	ENSOANG00000030805	ENSPPYG00000013781	ENSPPAG00000027306	ENSPTRG00000045050	ENSRNOG00000015618
ENSMUSG00000021996	ENSBTAG00000003415	ENSGALG00000016991	ENSGGOG00000041798	ENSG00000139684	ENSMODG00000011290		ENSOANG00000015566	ENSPPYG00000029594	ENSPPAG00000029798	ENSPTRG00000005857	ENSRNOG00000009512
ENSMUSG00000021997	ENSBTAG00000015994		ENSGGOG00000004589	ENSG00000173988		ENSMMUG00000009860		ENSPPYG00000005347	ENSPPAG00000031676	ENSPTRG00000005854	ENSRNOG00000038291
ENSMUSG00000021998	ENSBTAG00000007079	ENSGALG00000016986	ENSGGOG00000015581	ENSG00000136167	ENSMODG00000011413	ENSMMUG00000017033	ENSOANG00000015575	ENSPPYG00000005346	ENSPPAG00000032402	ENSPTRG00000005853	ENSRNOG00000010319
ENSMUSG00000021999	ENSBTAG00000007073	ENSGALG00000016985	ENSGGOG00000002007	ENSG00000080618	ENSMODG00000014975	ENSMMUG00000017029	ENSOANG00000015578	ENSPPYG00000005345	ENSPPAG00000034119	ENSPTRG00000005852	ENSRNOG00000010935
ENSMUSG00000022000	ENSBTAG00000007067	ENSGALG00000016984	ENSGGOG00000005496	ENSG00000123200	ENSMODG00000014969	ENSMMUG00000017025	ENSOANG00000015580		ENSPPAG00000034465	ENSPTRG00000005851	ENSRNOG00000011237
ENSMUSG00000022002											ENSRNOG00000022462
ENSMUSG00000022003	ENSBTAG00000016529	ENSGALG00000016979	ENSGGOG00000012295	ENSG00000174032	ENSMODG00000014945	ENSMMUG00000037790	ENSOANG00000015585	ENSPPYG00000005339	ENSPPAG00000004053	ENSPTRG00000005845	ENSRNOG00000001052
ENSMUSG00000022008	ENSBTAG00000009416				ENSMODG00000014930				ENSPPAG00000043786		ENSRNOG00000001037
ENSMUSG00000022009	ENSBTAG00000009415	ENSGALG00000016972		ENSG00000083635	ENSMODG00000014924	ENSMMUG00000016609	ENSOANG00000015591	ENSPPYG00000005331	ENSPPAG00000027467		ENSRNOG00000001033
ENSMUSG00000022010	ENSBTAG00000046664		ENSGGOG00000012857	ENSG00000102804	ENSMODG00000014919	ENSMMUG00000003753		ENSPPYG00000005330	ENSPPAG00000039757	ENSPTRG00000005837	ENSRNOG00000001030
ENSMUSG00000022012	ENSBTAG00000012434	ENSGALG00000016967	ENSGGOG00000006190	ENSG00000120658	ENSMODG00000014885	ENSMMUG00000002330	ENSOANG00000004643	ENSPPYG00000005324	ENSPPAG00000026244	ENSPTRG00000005832	ENSRNOG00000047817
ENSMUSG00000022013	ENSBTAG00000034785	ENSGALG00000016965	ENSGGOG00000016338	ENSG00000120675	ENSMODG00000014875	ENSMMUG00000013689		ENSPPYG00000005323	ENSPPAG00000023934	ENSPTRG00000047723	ENSRNOG00000009063
ENSMUSG00000022014	ENSBTAG00000019054	ENSGALG00000016964	ENSGGOG00000000804	ENSG00000133106	ENSMODG00000025483	ENSMMUG00000014926		ENSPPYG00000005322	ENSPPAG00000020892	ENSPTRG00000045006	ENSRNOG00000009471
ENSMUSG00000022015	ENSBTAG00000008924	ENSGALG00000026163	ENSGGOG00000011190	ENSG00000120659	ENSMODG00000014856	ENSMMUG00000017876	ENSOANG00000004642	ENSPPYG00000005320	ENSPPAG00000034988	ENSPTRG00000005827	
ENSMUSG00000022016	ENSBTAG00000014752	ENSGALG00000022739	ENSGGOG00000013285	ENSG00000023516	ENSMODG00000014848	ENSMMUG00000023083	ENSOANG00000004640	ENSPPYG00000005319	ENSPPAG00000034496	ENSPTRG00000005824	ENSRNOG00000009987
ENSMUSG00000022018	ENSBTAG00000034885	ENSGALG00000016954	ENSGGOG00000002722	ENSG00000102760	ENSMODG00000014805	ENSMMUG00000011593	ENSOANG00000004628	ENSPPYG00000005316	ENSPPAG00000034498	ENSPTRG00000005819	ENSRNOG00000042960
ENSMUSG00000022019	ENSBTAG00000009308	ENSGALG00000016936	ENSGGOG00000025560	ENSG00000083544	ENSMODG00000006316	ENSMMUG00000007169		ENSPPYG00000005401	ENSPPAG00000010477	ENSPTRG00000005918	ENSRNOG00000009034
ENSMUSG00000022020	ENSBTAG00000038251	ENSGALG00000032808		ENSG00000172766	ENSMODG00000014799	ENSMMUG00000011590	ENSOANG00000004627	ENSPPYG00000005314	ENSPPAG00000027330	ENSPTRG00000005816	ENSRNOG00000045863
ENSMUSG00000022021	ENSBTAG00000012443	ENSGALG00000016937	ENSGGOG00000001745	ENSG00000139734	ENSMODG00000006363	ENSMMUG00000013780	ENSOANG00000006997	ENSPPYG00000005400	ENSPPAG00000036848	ENSPTRG00000005916	ENSRNOG00000008986
ENSMUSG00000022022	ENSBTAG00000012260	ENSGALG00000016951	ENSGGOG00000002529	ENSG00000120662	ENSMODG00000014772	ENSMMUG00000017978	ENSOANG00000003383	ENSPPYG00000005313	ENSPPAG00000000050	ENSPTRG00000005815	ENSRNOG00000047106
ENSMUSG00000022023	ENSBTAG00000016637	ENSGALG00000016949	ENSGGOG00000026935	ENSG00000120688	ENSMODG00000014761	ENSMMUG00000007881	ENSOANG00000003379	ENSPPYG00000005310	ENSPPAG00000034971	ENSPTRG00000005812	ENSRNOG00000011678
ENSMUSG00000022024	ENSBTAG00000002137	ENSGALG00000016946	ENSGGOG00000006797	ENSG00000165416		ENSMMUG00000016401	ENSOANG00000020356	ENSPPYG00000005392			ENSRNOG00000012594
ENSMUSG00000022025	ENSBTAG00000025502	ENSGALG00000016945	ENSGGOG00000004005	ENSG00000136110	ENSMODG00000014743	ENSMMUG00000016404	ENSOANG00000010093	ENSPPYG00000005393	ENSPPAG00000006373	ENSPTRG00000005907	ENSRNOG00000012821
ENSMUSG00000022026	ENSBTAG00000022779	ENSGALG00000016943	ENSGGOG00000012253	ENSG00000102837	ENSMODG00000014735	ENSMMUG00000002657	ENSOANG00000003540	ENSPPYG00000005396	ENSPPAG00000036050	ENSPTRG00000005910	ENSRNOG00000013280
ENSMUSG00000022031	ENSBTAG00000002730	ENSGALG00000016624	ENSGGOG00000004808	ENSG00000134014	ENSMODG00000008637	ENSMMUG00000005067	ENSOANG00000029688	ENSPPYG00000018473	ENSPPAG00000003473	ENSPTRG00000020115	ENSRNOG00000014291
ENSMUSG00000022032	ENSBTAG00000019636	ENSGALG00000016580	ENSGGOG00000001855	ENSG00000168079	ENSMODG00000015990	ENSMMUG00000022044	ENSOANG00000015838	ENSPPYG00000018471	ENSPPAG00000032372	ENSPTRG00000020113	ENSRNOG00000014398
ENSMUSG00000022033		ENSGALG00000016582	ENSGGOG00000006648	ENSG00000168078		ENSMMUG00000016019	ENSOANG00000015839	ENSPPYG00000018470	ENSPPAG00000036956	ENSPTRG00000020112	ENSRNOG00000015308
ENSMUSG00000022034		ENSGALG00000016583	ENSGGOG00000009689	ENSG00000171320		ENSMMUG00000016018	ENSOANG00000015840	ENSPPYG00000018469	ENSPPAG00000037825	ENSPTRG00000020110	ENSRNOG00000015921
ENSMUSG00000022035	ENSBTAG00000006547	ENSGALG00000016586		ENSG00000147419	ENSMODG00000015976						ENSRNOG00000015939
ENSMUSG00000022037		ENSGALG00000043051	ENSGGOG00000016926	ENSG00000120885	ENSMODG00000015960	ENSMMUG00000021516	ENSOANG00000001254	ENSPPYG00000018466	ENSPPAG00000030389	ENSPTRG00000020107	ENSRNOG00000016460
ENSMUSG00000022039	ENSBTAG00000009408		ENSGGOG00000038491	ENSG00000104755	ENSMODG00000025791	ENSMMUG00000003137	ENSOANG00000000291	ENSPPYG00000018536	ENSPPAG00000027835	ENSPTRG00000020185	ENSRNOG00000017027
ENSMUSG00000022040	ENSBTAG00000015241	ENSGALG00000016567	ENSGGOG00000016993	ENSG00000120915	ENSMODG00000015948	ENSMMUG00000021515	ENSOANG00000010887	ENSPPYG00000018465	ENSPPAG00000034443	ENSPTRG00000020106	ENSRNOG00000017286
ENSMUSG00000022041	ENSBTAG00000002252	ENSGALG00000016565	ENSGGOG00000015596	ENSG00000120903	ENSMODG00000015940	ENSMMUG00000021514	ENSOANG00000029057	ENSPPYG00000018464	ENSPPAG00000042024	ENSPTRG00000020105	ENSRNOG00000017424
