ensembl_gene_id	oanatinus_homolog_ensembl_gene	oanatinus_homolog_associated_gene_name	oanatinus_homolog_ensembl_peptide	oanatinus_homolog_chromosome	oanatinus_homolog_chrom_start	oanatinus_homolog_chrom_end	oanatinus_homolog_canonical_transcript_protein	oanatinus_homolog_subtype	oanatinus_homolog_orthology_type	oanatinus_homolog_perc_id	oanatinus_homolog_perc_id_r1	oanatinus_homolog_goc_score	oanatinus_homolog_wga_coverage	oanatinus_homolog_dn	oanatinus_homolog_ds	oanatinus_homolog_orthology_confidence
ENSMUSG00000024726	ENSOANG00000011649	CARNMT1	ENSOANP00000018450	Ultra200	2377078	2397169	ENSMUSP00000025632	Mammalia	ortholog_one2one	60.75	71.4706	100	57.59	NA	NA	1
ENSMUSG00000025738	ENSOANG00000010215		ENSOANP00000016197	Contig27296	2179	2814	ENSMUSP00000048562	Mammalia	ortholog_one2one	33.6117	75.9434	0	72.23	NA	NA	0
ENSMUSG00000046008	ENSOANG00000005167		ENSOANP00000008211	Contig26831	10	9076	ENSMUSP00000056377	Mammalia	ortholog_one2many	23.871	67.2727	0	2.11	NA	NA	0
ENSMUSG00000046008	ENSOANG00000031713		ENSOANP00000031213	Ultra328	1760679	1761589	ENSMUSP00000056377	Mammalia	ortholog_one2many	7.31183	54.8387	50	50	NA	NA	0
ENSMUSG00000095740	ENSOANG00000018571	RF00026	ENSOANT00000027703	1	38249307	38249412	ENSMUST00000179407	Mammalia	ortholog_one2many	81.3084	82.0755	NA	NA	NA	NA	0
ENSMUSG00000095111	ENSOANG00000016886	RF00421	ENSOANT00000026029	Ultra29	2670761	2670876	ENSMUST00000157353	Mammalia	ortholog_one2many	52.8571	31.8966	NA	NA	NA	NA	0
ENSMUSG00000077616	ENSOANG00000017345	RF00560	ENSOANT00000026487	Ultra157	392188	392321	ENSMUST00000104428	Tetrapoda	ortholog_one2many	74.8092	73.1343	NA	49.26	NA	NA	0
ENSMUSG00000089405	ENSOANG00000017529	RF00001	ENSOANT00000026669	Contig31887	8410	8528	ENSMUST00000158780	Mammalia	ortholog_one2many	69.5652	53.7815	NA	NA	NA	NA	0
ENSMUSG00000106007	ENSOANG00000018079	RF00416	ENSOANT00000027215	Ultra157	391426	391558	ENSMUST00000196578	Amniota	ortholog_one2many	63.9098	63.9098	NA	48.87	NA	NA	0
ENSMUSG00000077222	ENSOANG00000017980	RF00155	ENSOANT00000027116	Contig9329	7669	7800	ENSMUST00000104034	Tetrapoda	ortholog_many2many	65.9091	65.9091	NA	48.11	NA	NA	0
ENSMUSG00000077222	ENSOANG00000017566	RF00155	ENSOANT00000026706	Contig9329	10230	10364	ENSMUST00000104034	Tetrapoda	ortholog_many2many	71.2121	69.6296	NA	97.76	NA	NA	1
ENSMUSG00000036880	ENSOANG00000002559		ENSOANP00000004054	3	22337122	22359898	ENSMUSP00000037348	Mammalia	ortholog_one2one	83.6272	83.6272	50	96.06	NA	NA	1
ENSMUSG00000012443	ENSOANG00000031944		ENSOANP00000030697	Contig20515	654	10072	ENSMUSP00000012587	Mammalia	ortholog_one2one	21.1027	47.9482	0	56.92	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016883	RF00001	ENSOANT00000026026	Contig155187	3	121	ENSMUST00000178861	Mammalia	ortholog_many2many	96.6387	96.6387	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016210	RF00001	ENSOANT00000025353	Contig224515	47	165	ENSMUST00000178861	Mammalia	ortholog_many2many	96.6387	96.6387	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016518	RF00001	ENSOANT00000025661	Contig202919	51	169	ENSMUST00000178861	Mammalia	ortholog_many2many	96.6387	96.6387	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016807	RF00001	ENSOANT00000025950	Contig279130	267	385	ENSMUST00000178861	Mammalia	ortholog_many2many	96.6387	96.6387	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000019052	RF00001	ENSOANT00000028181	Ultra659	3941	4059	ENSMUST00000178861	Mammalia	ortholog_many2many	94.958	94.958	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016696	RF00001	ENSOANT00000025839	Contig155923	200	318	ENSMUST00000178861	Mammalia	ortholog_many2many	94.958	94.958	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016755	RF00001	ENSOANT00000025898	Contig118316	1091	1209	ENSMUST00000178861	Mammalia	ortholog_many2many	93.2773	93.2773	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016559	RF00001	ENSOANT00000025702	Contig123890	545	663	ENSMUST00000178861	Mammalia	ortholog_many2many	94.958	94.958	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016904	RF00001	ENSOANT00000026047	Contig208390	82	200	ENSMUST00000178861	Mammalia	ortholog_many2many	96.6387	96.6387	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016450	RF00001	ENSOANT00000025593	Contig112895	236	354	ENSMUST00000178861	Mammalia	ortholog_many2many	94.958	94.958	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016101	RF00001	ENSOANT00000025244	Contig198610	148	266	ENSMUST00000178861	Mammalia	ortholog_many2many	96.6387	96.6387	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016757	RF00001	ENSOANT00000025900	Contig220883	405	523	ENSMUST00000178861	Mammalia	ortholog_many2many	94.958	94.958	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016525	RF00001	ENSOANT00000025668	Contig220620	129	247	ENSMUST00000178861	Mammalia	ortholog_many2many	96.6387	96.6387	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016364	RF00001	ENSOANT00000025507	Contig217099	242	360	ENSMUST00000178861	Mammalia	ortholog_many2many	94.958	94.958	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016879	RF00001	ENSOANT00000026022	Contig213624	177	295	ENSMUST00000178861	Mammalia	ortholog_many2many	96.6387	96.6387	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016149	RF00001	ENSOANT00000025292	Contig221988	234	352	ENSMUST00000178861	Mammalia	ortholog_many2many	94.958	94.958	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016195	RF00001	ENSOANT00000025338	Contig195279	695	817	ENSMUST00000178861	Mammalia	ortholog_many2many	91.5966	88.6179	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016333	RF00001	ENSOANT00000025476	Contig192047	267	385	ENSMUST00000178861	Mammalia	ortholog_many2many	94.958	94.958	NA	NA	NA	NA	0
ENSMUSG00000096132	ENSOANG00000016366	RF00001	ENSOANT00000025509	Contig127411	610	728	ENSMUST00000178861	Mammalia	ortholog_many2many	94.958	94.958	NA	NA	NA	NA	0
ENSMUSG00000089414	ENSOANG00000027740	RF00160	ENSOANT00000037865	Contig92581	339	414	ENSMUST00000158789	Mammalia	ortholog_one2one	43.6782	50	NA	NA	NA	NA	0
ENSMUSG00000025091	ENSOANG00000014138	PNLIPRP2	ENSOANP00000022300	Ultra328	1803475	1826434	ENSMUSP00000026081	Mammalia	ortholog_one2one	62.4481	64.454	100	75.1	NA	NA	1
ENSMUSG00000088404	ENSOANG00000017529	RF00001	ENSOANT00000026669	Contig31887	8410	8528	ENSMUST00000157779	Mammalia	ortholog_one2many	57.7982	52.9412	NA	NA	NA	NA	0
ENSMUSG00000077714	ENSOANG00000024863	RF00567	ENSOANT00000034988	Ultra519	9349591	9349833	ENSMUST00000104526	Sarcopterygii	ortholog_one2many	59.6639	58.4362	NA	NA	NA	NA	0
ENSMUSG00000077714	ENSOANG00000026815	RF00567	ENSOANT00000036940	Ultra519	9352023	9352266	ENSMUST00000104526	Sarcopterygii	ortholog_one2many	62.1849	60.6557	NA	NA	NA	NA	0
ENSMUSG00000060224	ENSOANG00000003471	PYROXD2	ENSOANP00000005494	Ultra322	542020	556010	ENSMUSP00000075825	Mammalia	ortholog_one2one	50.4303	61.945	100	36.65	NA	NA	1
ENSMUSG00000105754	ENSOANG00000018079	RF00416	ENSOANT00000027215	Ultra157	391426	391558	ENSMUST00000198428	Amniota	ortholog_one2many	64.9635	66.9173	NA	48.87	NA	NA	0
ENSMUSG00000076256	ENSOANG00000016993		ENSOANT00000026136	Ultra284	7564137	7564221	ENSMUST00000102301	Mammalia	ortholog_one2many	88.5057	90.5882	NA	NA	NA	NA	0
ENSMUSG00000076256	ENSOANG00000016304		ENSOANT00000025447	Ultra284	6728757	6728843	ENSMUST00000102301	Mammalia	ortholog_one2many	91.954	91.954	NA	100	NA	NA	1
ENSMUSG00000076256	ENSOANG00000017047		ENSOANT00000026190	Ultra284	715252	715320	ENSMUST00000102301	Mammalia	ortholog_one2many	70.1149	88.4058	NA	NA	NA	NA	0
ENSMUSG00000065347	ENSOANG00000016846	RF00026	ENSOANT00000025989	Ultra428	215360	215466	ENSMUST00000083413	Amniota	ortholog_many2many	100	100	NA	NA	NA	NA	0
ENSMUSG00000065347	ENSOANG00000016937	RF00026	ENSOANT00000026080	Ultra428	214621	214728	ENSMUST00000083413	Amniota	ortholog_many2many	100	99.0741	NA	NA	NA	NA	0
ENSMUSG00000065347	ENSOANG00000016280	RF00026	ENSOANT00000025423	Ultra428	179871	179977	ENSMUST00000083413	Amniota	ortholog_many2many	100	100	NA	NA	NA	NA	0
ENSMUSG00000077549	ENSOANG00000017835	RF00576	ENSOANT00000026972	11	2438208	2438294	ENSMUST00000104361	Mammalia	ortholog_one2one	76.4706	74.7126	NA	100	NA	NA	1
ENSMUSG00000095672	ENSOANG00000029061		ENSOANP00000030270	7	32348979	32359196	ENSMUSP00000136476	Euteleostomi	ortholog_one2many	0	0	50	NA	NA	NA	0
ENSMUSG00000096005	ENSOANG00000019236	RF00026	ENSOANT00000028364	2	40283594	40283699	ENSMUST00000179499	Amniota	ortholog_one2many	87.8505	88.6792	NA	NA	NA	NA	0
ENSMUSG00000089487	ENSOANG00000027804	RF00003	ENSOANT00000037929	4	44731909	44732011	ENSMUST00000158862	Amniota	ortholog_one2many	43.0769	54.3689	NA	NA	NA	NA	0
ENSMUSG00000094229	ENSOANG00000016846	RF00026	ENSOANT00000025989	Ultra428	215360	215466	ENSMUST00000179018	Amniota	ortholog_many2many	99.0654	99.0654	NA	NA	NA	NA	0
ENSMUSG00000094229	ENSOANG00000016937	RF00026	ENSOANT00000026080	Ultra428	214621	214728	ENSMUST00000179018	Amniota	ortholog_many2many	99.0654	98.1481	NA	NA	NA	NA	0
ENSMUSG00000094229	ENSOANG00000016280	RF00026	ENSOANT00000025423	Ultra428	179871	179977	ENSMUST00000179018	Amniota	ortholog_many2many	99.0654	99.0654	NA	NA	NA	NA	0
ENSMUSG00000065787	ENSOANG00000019230	RF00026	ENSOANT00000028358	Contig7642	925	1027	ENSMUST00000083853	Mammalia	ortholog_one2one	72.6415	74.7573	NA	NA	NA	NA	0
ENSMUSG00000024866	ENSOANG00000029117		ENSOANP00000033166	Contig29917	5514	6680	ENSMUSP00000050056	Amniota	ortholog_one2one	17.2956	47.8261	0	50.3	NA	NA	0
ENSMUSG00000033022	ENSOANG00000011621		ENSOANP00000018409	Contig13568	16758	21775	ENSMUSP00000046517	Mammalia	ortholog_one2one	65.5	90.3448	0	52.21	NA	NA	0
ENSMUSG00000089235	ENSOANG00000028012	RF00492	ENSOANT00000038137	Contig177900	89	226	ENSMUST00000158610	Mammalia	ortholog_one2many	53.5714	54.3478	NA	NA	NA	NA	0
ENSMUSG00000087923	ENSOANG00000018740	RF00003	ENSOANT00000027871	Contig8326	15992	16151	ENSMUST00000157298	Mammalia	ortholog_one2many	50.3759	41.875	NA	NA	NA	NA	0
ENSMUSG00000035283	ENSOANG00000001567	ADRB1	ENSOANP00000002499	Ultra272	6478560	6479831	ENSMUSP00000040847	Mammalia	ortholog_one2one	65.0215	76.3224	100	98.14	NA	NA	1
ENSMUSG00000089203	ENSOANG00000019198	RF00156	ENSOANT00000028327	Ultra401	7215	7349	ENSMUST00000158578	Vertebrata	ortholog_many2many	67.4419	64.4444	NA	100	NA	NA	1
ENSMUSG00000089203	ENSOANG00000018997	RF00156	ENSOANT00000028126	Ultra401	6423	6556	ENSMUST00000158578	Vertebrata	ortholog_many2many	63.5659	61.194	NA	NA	NA	NA	0
ENSMUSG00000064696	ENSOANG00000018400	RF00217	ENSOANT00000027533	Contig30838	1798	1875	ENSMUST00000082762	Sarcopterygii	ortholog_one2one	85	87.1795	NA	100	NA	NA	1
ENSMUSG00000025094	ENSOANG00000014132	SLC18A2	ENSOANP00000022290	Ultra328	2318679	2357569	ENSMUSP00000026084	Mammalia	ortholog_one2one	83.9458	82.9828	75	99.61	NA	NA	1
ENSMUSG00000088577	ENSOANG00000019198	RF00156	ENSOANT00000028327	Ultra401	7215	7349	ENSMUST00000157952	Vertebrata	ortholog_many2many	64.2202	51.8519	NA	NA	NA	NA	0
ENSMUSG00000088577	ENSOANG00000018997	RF00156	ENSOANT00000028126	Ultra401	6423	6556	ENSMUST00000157952	Vertebrata	ortholog_many2many	61.4679	50	NA	NA	NA	NA	0
ENSMUSG00000064717	ENSOANG00000018212	RF00096	ENSOANT00000027347	Contig3446	43965	44099	ENSMUST00000082783	Euteleostomi	ortholog_many2many	67.4074	67.4074	NA	NA	NA	NA	0
ENSMUSG00000064717	ENSOANG00000018580	RF00096	ENSOANT00000027711	Contig56695	487	621	ENSMUST00000082783	Euteleostomi	ortholog_many2many	68.1481	68.1481	NA	NA	NA	NA	0
ENSMUSG00000064741	ENSOANG00000019083	RF00016	ENSOANT00000028212	Ultra270	436462	436553	ENSMUST00000082807	Vertebrata	ortholog_one2many	79.3103	75	NA	NA	NA	NA	0
ENSMUSG00000064741	ENSOANG00000019283	RF00016	ENSOANT00000028409	Ultra270	437319	437411	ENSMUST00000082807	Vertebrata	ortholog_one2many	83.908	78.4946	NA	NA	NA	NA	0
ENSMUSG00000064666	ENSOANG00000027190	RF00419	ENSOANT00000037315	Contig83296	1081	1176	ENSMUST00000082732	Mammalia	ortholog_many2many	43.0657	61.4583	NA	NA	NA	NA	0
ENSMUSG00000064666	ENSOANG00000018921	RF00419	ENSOANT00000028050	Contig79779	507	611	ENSMUST00000082732	Mammalia	ortholog_many2many	46.7153	60.9524	NA	56.84	NA	NA	0
ENSMUSG00000075719	ENSOANG00000016648	RF00003	ENSOANT00000025791	6	15984710	15984883	ENSMUST00000097237	Mammalia	ortholog_one2one	66.6667	65.5172	NA	NA	NA	NA	0
ENSMUSG00000089408	ENSOANG00000027506	RF00009	ENSOANT00000037631	Contig12565	12805	13152	ENSMUST00000158783	Mammalia	ortholog_one2many	52.963	41.092	NA	NA	NA	NA	0
ENSMUSG00000024556	ENSOANG00000008119	ME2	ENSOANP00000012904	3	23156989	23197894	ENSMUSP00000025439	Mammalia	ortholog_one2one	81.6638	82.5043	75	50.27	NA	NA	1
ENSMUSG00000095585	ENSOANG00000029593		ENSOANP00000032590	Contig8421	14066	15506	ENSMUSP00000137582	Mammalia	ortholog_one2many	32.6923	25.3731	25	50	NA	NA	0
ENSMUSG00000077380	ENSOANG00000027342	RF00263	ENSOANT00000037467	Ultra659	9640	9698	ENSMUST00000104192	Mammalia	ortholog_many2many	23.4848	52.5424	NA	NA	NA	NA	0
ENSMUSG00000077380	ENSOANG00000025740	RF00263	ENSOANT00000035865	Ultra659	12300	12438	ENSMUST00000104192	Mammalia	ortholog_many2many	57.5758	54.6763	NA	NA	NA	NA	0
ENSMUSG00000064793	ENSOANG00000019236	RF00026	ENSOANT00000028364	2	40283594	40283699	ENSMUST00000082859	Amniota	ortholog_one2many	78.3019	78.3019	NA	NA	NA	NA	0
ENSMUSG00000064672	ENSOANG00000017546	RF00410	ENSOANT00000026686	Contig3176	46966	47104	ENSMUST00000082738	Amniota	ortholog_one2many	66.9118	65.4676	NA	NA	NA	NA	0
ENSMUSG00000089418	ENSOANG00000016504	RF00019	ENSOANT00000025647	4	8382417	8382530	ENSMUST00000158793	Mammalia	ortholog_many2many	71.0526	71.0526	NA	NA	NA	NA	0
ENSMUSG00000089418	ENSOANG00000025071	RF00019	ENSOANT00000035196	X1	10978148	10978243	ENSMUST00000158793	Mammalia	ortholog_many2many	63.1579	75	NA	NA	NA	NA	0
ENSMUSG00000061808	ENSOANG00000005619	TTR	ENSOANP00000008944	7	13211684	13218572	ENSMUSP00000074783	Mammalia	ortholog_one2one	70.068	69.1275	100	100	NA	NA	1
ENSMUSG00000024952	ENSOANG00000003031		ENSOANP00000004804	Contig39102	91	3816	ENSMUSP00000025903	Mammalia	ortholog_one2one	34.5407	81.6514	0	47.5	NA	NA	0
ENSMUSG00000067608	ENSOANG00000019919		ENSOANP00000025275	Contig180631	828	1593	ENSMUSP00000137596	Bilateria	ortholog_one2many	27.9693	34.1121	0	NA	NA	NA	0
ENSMUSG00000088789	ENSOANG00000027661	RF00231	ENSOANT00000037786	Ultra378	1967268	1967544	ENSMUST00000158164	Mammalia	ortholog_one2many	73.8182	73.2852	NA	98.92	NA	NA	1
ENSMUSG00000088810	ENSOANG00000027108	RF00561	ENSOANT00000037233	Ultra29	2673339	2673467	ENSMUST00000158185	Mammalia	ortholog_one2one	50	50.3876	NA	NA	NA	NA	0
ENSMUSG00000032889	ENSOANG00000001187	CYB5D1	ENSOANP00000001891	Contig20076	5944	8817	ENSMUSP00000098988	Mammalia	ortholog_one2many	57.0175	63.7255	0	49.81	NA	NA	0
ENSMUSG00000077587	ENSOANG00000017345	RF00560	ENSOANT00000026487	Ultra157	392188	392321	ENSMUST00000104399	Tetrapoda	ortholog_one2many	71.6535	67.9104	NA	50	NA	NA	0
ENSMUSG00000088850	ENSOANG00000025161	RF00568	ENSOANT00000035286	Contig23414	2813	2930	ENSMUST00000158225	Euteleostomi	ortholog_one2many	40.146	46.6102	NA	NA	NA	NA	0
ENSMUSG00000071506	ENSOANG00000003503		ENSOANP00000005547	Ultra450	63705	65046	ENSMUSP00000100590	Mammalia	ortholog_one2one	37.8505	38.2075	50	70.33	NA	NA	0
ENSMUSG00000041429	ENSOANG00000000500		ENSOANP00000000798	Contig17430	21	9919	ENSMUSP00000047413	Mammalia	ortholog_one2one	53	54.8276	0	10.95	NA	NA	0
ENSMUSG00000065698	ENSOANG00000016482	RF00403	ENSOANT00000025625	Ultra170	93312	93446	ENSMUST00000083764	Mammalia	ortholog_one2many	74.0458	71.8519	NA	NA	NA	NA	0
ENSMUSG00000033826	ENSOANG00000013163	DNAH8	ENSOANP00000020803	Ultra330	2842498	3030708	ENSMUSP00000127878	Mammalia	ortholog_one2one	85.3519	85.6779	75	52.27	NA	NA	1
ENSMUSG00000093258	ENSOANG00000027643	RF00026	ENSOANT00000037768	Contig8568	5186	5292	ENSMUST00000175517	Vertebrata	ortholog_one2many	66.3551	66.3551	NA	NA	NA	NA	0
ENSMUSG00000024241	ENSOANG00000014976	SOS1	ENSOANP00000023572	1	24346886	24445474	ENSMUSP00000067786	Mammalia	ortholog_one2one	85.0644	92.4217	75	10.1	NA	NA	1
ENSMUSG00000024317	ENSOANG00000005616	RNF138	ENSOANP00000008939	7	13000799	13011713	ENSMUSP00000056641	Mammalia	ortholog_one2one	69.3878	85.4271	100	87.35	NA	NA	1
ENSMUSG00000094896	ENSOANG00000016875	RF00026	ENSOANT00000026018	Contig2584	14064	14168	ENSMUST00000083197	Mammalia	ortholog_one2one	73.8318	75.2381	NA	NA	NA	NA	0
ENSMUSG00000094895	ENSOANG00000019236	RF00026	ENSOANT00000028364	2	40283594	40283699	ENSMUST00000179708	Amniota	ortholog_one2many	90.6542	91.5094	NA	NA	NA	NA	0
ENSMUSG00000064440	ENSOANG00000017737	RF00284	ENSOANT00000026874	Ultra341	3117480	3117560	ENSMUST00000082506	Amniota	ortholog_one2many	61.25	60.4938	NA	88.82	NA	NA	1
ENSMUSG00000064440	ENSOANG00000018825	RF00284	ENSOANT00000027955	Contig288115	321	401	ENSMUST00000082506	Amniota	ortholog_one2many	60	59.2593	NA	NA	NA	NA	0
ENSMUSG00000088522	ENSOANG00000018556	RF00420	ENSOANT00000027688	Contig24898	7264	7391	ENSMUST00000157897	Mammalia	ortholog_many2many	51.5625	51.5625	NA	NA	NA	NA	0
ENSMUSG00000088522	ENSOANG00000017441	RF00420	ENSOANT00000026581	Contig65777	3161	3288	ENSMUST00000157897	Mammalia	ortholog_many2many	47.6562	47.6562	NA	NA	NA	NA	0
ENSMUSG00000088726	ENSOANG00000027611	RF00554	ENSOANT00000037736	Contig26401	16128	16268	ENSMUST00000158101	Mammalia	ortholog_one2many	59.7222	60.9929	NA	99.31	NA	NA	1
ENSMUSG00000076387	ENSOANG00000016788	MIR671	ENSOANT00000025931	Contig154595	239	356	ENSMUST00000102432	Mammalia	ortholog_one2one	83.6735	69.4915	NA	100	NA	NA	1
ENSMUSG00000065635	ENSOANG00000018500	RF00213	ENSOANT00000027633	Contig21402	4517	4591	ENSMUST00000083701	Amniota	ortholog_one2many	68.4211	69.3333	NA	NA	NA	NA	0
ENSMUSG00000064602	ENSOANG00000016482	RF00403	ENSOANT00000025625	Ultra170	93312	93446	ENSMUST00000082668	Mammalia	ortholog_one2many	76.5152	74.8148	NA	100	NA	NA	1
ENSMUSG00000088519	ENSOANG00000018212	RF00096	ENSOANT00000027347	Contig3446	43965	44099	ENSMUST00000157894	Euteleostomi	ortholog_many2many	53.8462	46.6667	NA	NA	NA	NA	0
ENSMUSG00000088519	ENSOANG00000018580	RF00096	ENSOANT00000027711	Contig56695	487	621	ENSMUST00000157894	Euteleostomi	ortholog_many2many	54.7009	47.4074	NA	NA	NA	NA	0
ENSMUSG00000064880	ENSOANG00000017942	RF00092	ENSOANT00000027078	Contig46167	6626	6762	ENSMUST00000082946	Amniota	ortholog_one2one	60.8	55.4745	NA	96.58	NA	NA	1
ENSMUSG00000038299	ENSOANG00000015157	WDR36	ENSOANP00000023867	Ultra84	2763892	2805660	ENSMUSP00000052465	Mammalia	ortholog_one2one	74.6385	74.8884	50	49.54	NA	NA	0
ENSMUSG00000077394	ENSOANG00000018966	RF00494	ENSOANT00000028095	Ultra29	2664475	2664554	ENSMUST00000104206	Mammalia	ortholog_one2one	90.7895	86.25	NA	100	NA	NA	1
ENSMUSG00000077515	ENSOANG00000019015	RF00581	ENSOANT00000028144	Ultra516	1567516	1567585	ENSMUST00000104327	Mammalia	ortholog_one2many	54.8387	72.8571	NA	NA	NA	NA	0
ENSMUSG00000077515	ENSOANG00000018344	RF00581	ENSOANT00000027477	Ultra516	1568422	1568513	ENSMUST00000104327	Mammalia	ortholog_one2many	74.1936	75	NA	98.92	NA	NA	1
ENSMUSG00000089561	ENSOANG00000027408	RF00026	ENSOANT00000037533	1	37585826	37585925	ENSMUST00000158936	Mammalia	ortholog_one2many	76.2887	74	NA	NA	NA	NA	0
ENSMUSG00000077783	ENSOANG00000027348	RF00004	ENSOANT00000037473	X3	156538	156753	ENSMUST00000104595	Euteleostomi	ortholog_one2one	39.1534	34.2593	NA	NA	NA	NA	0
ENSMUSG00000034820	ENSOANG00000010882		ENSOANP00000017244	Contig22790	7277	15043	ENSMUSP00000038958	Mammalia	ortholog_one2one	81.3163	82.0128	0	92.05	NA	NA	1
ENSMUSG00000093828	ENSOANG00000000471		ENSOANP00000000751	Contig6869	44798	46314	ENSMUSP00000103621	Mammalia	ortholog_one2many	30.2326	37.1429	25	43.18	NA	NA	0
ENSMUSG00000089264	ENSOANG00000027757	RF00431	ENSOANT00000037882	Contig49400	3140	3279	ENSMUST00000158639	Amniota	ortholog_many2many	67.2414	27.8571	NA	NA	NA	NA	0
ENSMUSG00000089264	ENSOANG00000027831	RF00431	ENSOANT00000037956	Contig704	75791	75930	ENSMUST00000158639	Amniota	ortholog_many2many	67.2414	27.8571	NA	NA	NA	NA	0
ENSMUSG00000089264	ENSOANG00000018504	RF00431	ENSOANT00000027637	Contig704	69999	70133	ENSMUST00000158639	Amniota	ortholog_many2many	74.1379	31.8519	NA	NA	NA	NA	0
ENSMUSG00000096558	ENSOANG00000018304	RF00392	ENSOANT00000027438	Contig27359	10201	10335	ENSMUST00000177960	Amniota	ortholog_one2many	47.8261	32.5926	NA	NA	NA	NA	0
ENSMUSG00000088816	ENSOANG00000027491	RF00565	ENSOANT00000037616	Ultra341	4154134	4154270	ENSMUST00000158191	Amniota	ortholog_one2many	67.9389	64.9635	NA	NA	NA	NA	0
ENSMUSG00000064731	ENSOANG00000016941	RF00279	ENSOANT00000026084	Contig5910	23424	23507	ENSMUST00000082797	Mammalia	ortholog_many2many	76.0563	64.2857	NA	50	NA	NA	0
ENSMUSG00000064731	ENSOANG00000016852	RF00279	ENSOANT00000025995	Contig5910	19703	19784	ENSMUST00000082797	Mammalia	ortholog_many2many	77.4648	67.0732	NA	NA	NA	NA	0
ENSMUSG00000064731	ENSOANG00000016633	RF00279	ENSOANT00000025776	Contig5910	21626	21708	ENSMUST00000082797	Mammalia	ortholog_many2many	76.0563	65.0602	NA	NA	NA	NA	0
ENSMUSG00000098908	ENSOANG00000018556	RF00420	ENSOANT00000027688	Contig24898	7264	7391	ENSMUST00000184976	Mammalia	ortholog_many2many	46.5116	46.875	NA	NA	NA	NA	0
ENSMUSG00000098908	ENSOANG00000017441	RF00420	ENSOANT00000026581	Contig65777	3161	3288	ENSMUST00000184976	Mammalia	ortholog_many2many	45.7364	46.0938	NA	NA	NA	NA	0
ENSMUSG00000024386	ENSOANG00000021801		ENSOANP00000027787	Contig15000	12	15121	ENSMUSP00000132226	Mammalia	ortholog_one2one	26.3043	42.3077	0	0.87	NA	NA	0
ENSMUSG00000064570	ENSOANG00000017976	RF00411	ENSOANT00000027112	Contig2684	3161	3300	ENSMUST00000082636	Euteleostomi	ortholog_many2many	74.6269	71.4286	NA	NA	NA	NA	0
ENSMUSG00000064570	ENSOANG00000019200	RF00411	ENSOANT00000028329	Contig2684	11975	12114	ENSMUST00000082636	Euteleostomi	ortholog_many2many	73.8806	70.7143	NA	NA	NA	NA	0
ENSMUSG00000040385	ENSOANG00000011413		ENSOANP00000030012	Contig12848	12638	17389	ENSMUSP00000039109	Amniota	ortholog_one2one	77.8788	80.8176	25	85.18	NA	NA	1
ENSMUSG00000060450	ENSOANG00000007432	RNF14	ENSOANP00000011835	Ultra459	246200	259296	ENSMUSP00000126205	Mammalia	ortholog_one2one	76.9072	80.3879	0	95.42	NA	NA	1
ENSMUSG00000095092	ENSOANG00000029061		ENSOANP00000030270	7	32348979	32359196	ENSMUSP00000135921	Euteleostomi	ortholog_one2many	0	0	25	38.67	NA	NA	0
ENSMUSG00000064883	ENSOANG00000016504	RF00019	ENSOANT00000025647	4	8382417	8382530	ENSMUST00000082949	Mammalia	ortholog_many2many	71.0526	71.0526	NA	NA	NA	NA	0
ENSMUSG00000064883	ENSOANG00000025071	RF00019	ENSOANT00000035196	X1	10978148	10978243	ENSMUST00000082949	Mammalia	ortholog_many2many	57.8947	68.75	NA	NA	NA	NA	0
ENSMUSG00000065471	ENSOANG00000017045	oan-mir-222a	ENSOANT00000026188	Ultra222	5162121	5162230	ENSMUST00000083537	Amniota	ortholog_one2one	86.076	61.8182	NA	98.63	NA	NA	1
ENSMUSG00000065110	ENSOANG00000019037	RF00270	ENSOANT00000028166	6	7382943	7383015	ENSMUST00000083176	Amniota	ortholog_one2one	71.831	69.863	NA	100	NA	NA	1
ENSMUSG00000094695	ENSOANG00000002083		ENSOANP00000003304	Contig22146	7491	8669	ENSMUSP00000103637	Mammalia	ortholog_one2many	45.977	36.6972	25	27.16	NA	NA	0
